income	gender	weight
-2	1	-5
48000	2	116
-4	2	130
15000	2	130
25000	2	125
24000	2	230
-5	2	115
-4	1	190
146002	1	200
-5	2	165
40000	1	210
1500	2	165
50000	2	145
-5	1	-5
92000	2	124
28000	1	180
-4	2	-2
53000	1	255
2400	2	140
60000	1	185
-4	1	145
6000	2	140
25000	2	164
-2	2	150
30000	1	185
50000	1	180
80000	1	172
38000	1	160
-5	1	145
33000	2	-5
-5	2	170
-5	1	-5
72000	1	165
54000	1	180
-5	1	150
-4	2	-5
29000	1	140
-4	2	-2
-4	2	146
-5	1	-5
-2	1	145
-5	2	138
-5	1	-5
6000	1	165
-5	2	200
40000	2	130
-4	1	263
70000	1	180
-4	2	183
-2	2	160
-4	2	165
35000	2	170
-2	1	250
20000	1	145
30000	1	190
15000	2	153
5000	1	-5
-5	1	130
-5	1	-5
25000	1	150
-4	2	156
-4	1	-5
28000	2	110
-5	2	-5
-5	1	125
-4	2	280
20000	1	250
65000	1	165
-5	2	115
-5	1	-5
-5	1	-5
-4	2	220
-2	1	-5
25000	1	125
-5	2	-5
-5	2	-5
63900	1	186
20000	2	128
42000	1	276
25000	2	125
-5	1	-5
-5	2	-1
-4	2	-5
46000	2	-5
146002	2	160
9000	1	187
-4	2	116
90000	1	205
-5	2	-5
43000	1	137
-5	1	-5
25000	1	-5
-4	2	149
-4	2	138
-5	1	-5
-4	1	-5
-5	1	-5
-2	1	235
15000	1	135
-4	1	140
30000	1	238
45000	2	158
30000	1	225
53000	1	175
28000	2	160
38000	2	136
-5	2	140
45000	1	252
30000	2	185
18000	1	-5
43000	1	170
62753	1	140
28000	2	113
-5	2	122
-5	2	140
18000	2	225
20000	2	100
14000	2	139
-4	2	165
-2	1	200
-5	1	185
-4	2	190
-4	1	230
-2	1	180
-5	2	180
20000	2	141
6000	1	195
35000	1	-5
-5	2	-5
34000	1	185
-4	2	150
-5	1	-5
-4	2	123
-4	2	122
39000	1	140
146002	1	220
10000	2	134
5000	1	141
-5	2	115
43000	1	156
10000	1	125
11000	1	230
84000	1	240
14000	1	240
-2	2	175
-4	1	195
-4	2	165
39000	1	140
28500	1	182
35300	1	275
-4	2	175
71000	1	215
30000	1	230
-5	2	-5
-5	2	-5
-4	1	250
35000	2	145
80000	1	165
48000	1	178
146002	1	275
735	1	185
45000	2	145
50000	1	200
40000	1	189
15000	1	200
-4	2	120
18339	1	165
-5	2	-5
-5	1	165
48000	2	128
20000	1	160
44200	2	140
92000	2	140
32000	2	144
700	1	59
1000	1	210
25000	2	130
-4	1	175
-4	2	160
-4	1	240
-5	2	-5
34700	1	179
-5	2	165
30000	1	232
-5	1	-5
65000	1	185
42000	1	160
-5	2	-5
12000	2	125
62000	1	147
146002	2	125
-5	1	-5
-4	2	165
28611	1	180
40000	2	135
-5	2	-5
46681	2	130
24000	2	285
-5	2	-5
47000	1	155
49000	1	230
62000	1	-5
-4	2	120
12000	1	-2
27000	1	155
40000	1	195
75000	2	135
-4	2	116
24960	2	130
-4	2	205
25000	1	150
-5	1	-5
35000	2	107
20000	1	-5
2500	1	-5
5000	2	120
92000	2	120
146002	1	195
74000	1	180
-4	1	-2
13000	1	185
-5	2	-5
-5	1	135
-5	1	185
-5	1	185
30000	2	200
-4	2	185
27000	1	200
20000	1	165
2000	2	140
25000	2	115
-5	2	150
11000	2	203
-4	2	115
6000	1	130
57500	2	130
42000	1	175
26000	1	225
-5	2	-5
-5	1	-5
18000	2	172
30000	2	130
28000	1	-5
-5	1	155
-4	2	130
-4	2	180
44000	1	390
-4	1	160
28000	2	120
26000	2	125
56700	1	245
-4	1	150
-5	1	150
30000	2	145
30000	1	220
65000	2	155
-4	2	145
41000	1	185
-5	2	-5
-5	1	150
-4	2	165
16000	1	322
-4	2	180
75000	1	210
65000	2	145
62000	1	205
67000	2	160
-4	1	-5
-5	1	-5
48000	1	220
15000	1	220
13000	2	137
21500	2	102
560	2	-2
6000	2	145
-4	1	175
